Type,Title,Client,Category,Size,Ratio,YouTube
featured,Showreel 2026,Filumed Productions,showreel,wide,r219,ScMzIvxBSi4
item,After the Storm,Solaris / Festival,events,wide,r169,pS9m_B70N_M
item,First Light,Aster / Brand,brand-content,narrow,r169,EngW7tLk6R8
item,Acoustic Sessions,Verve / Concert,concert,narrow,r169,33D2hQxYgX0
item,Behind the Lens,The Daily Byte / Podcast,podcast,wide,r169,9p9E4D_3JcM
item,A Silent Resonance,Studio Cine / Narrative,short-film,wide,r169,k31aD7GfAew
item,Kinetic Energy,Volt / Campaign,products,narrow,r169,j1yZ1O0bSfs
item,Concrete & Sky,Aura Living / Design,hospitality-real-estate,narrow,r169,g4E1Xk24Dts
item,Sizzle & Smoke,Mise En Place / Gastronomy,fb,wide,r169,210Qk4x4Xh8
item,The Endless Ridge,Wilderness / Expedition,documentary-travel,full,r219,tD5B2HqP4wE
